artworkId,titleZh,titleEn,year,medium,dimensions,series,category,image,sourceFile
KXW-W-009,木堆上的草帽,The Straw Hat on the Woodpile,2024,Watercolor on Paper（纸本水彩）,53 × 76 cm,Pastoral Poems（田园诗）,watercolor,assets/images/catalogue-raisonne/KXW-009.jpg,KXW-W-009_木堆上的草帽_Artwork.docx
KXW-W-010,《白露为霜》,White Dew Turns to Frost,2024,Watercolor on Paper（纸本水彩）,53 × 76 cm,Light and Life（光与生命）,watercolor,assets/images/catalogue-raisonne/KXW-010.jpg,KXW-W-010_白露为霜_Artwork.docx
KXW-W-012,《春江水暖》,Spring Waters Grow Warm,2024,Watercolor on Paper（纸本水彩）,25 × 36 cm,Pastoral Poems（田园诗）,watercolor,assets/images/catalogue-raisonne/KXW-012.jpg,KXW-W-012_春江水暖_Artwork.docx
KXW-W-013,《柴蕴塔里木》,Firewood of Tarim,2025,Watercolor on Paper（纸本水彩）,79 × 112 cm,Pastoral Poems（田园诗）,watercolor,assets/images/catalogue-raisonne/KXW-013.jpg,KXW-W-013_柴蕴塔里木_Artwork.docx
KXW-W-014,《酱色右玉》,Earth Tones of Youyu,2024,Watercolor on Paper（纸本水彩）,39 × 54 cm,Pastoral Poems（田园诗）,watercolor,assets/images/catalogue-raisonne/KXW-014.jpg,KXW-W-014_酱色右玉_Artwork.docx
KXW-W-015,《深山瑶乡辟通途》,A New Passage Through the Yao Mountains,2024,Watercolor on Paper（纸本水彩）,102 × 132 cm,Grounds for Living（立身之境）,watercolor,assets/images/catalogue-raisonne/KXW-015.jpg,KXW-W-015_深山瑶乡辟通途_Artwork.docx
KXW-W-018,《热情渔港》,Passion at the Fishing Port,2021,Watercolor on Paper（纸本水彩）,103 × 69 cm,Realm of Coexistence（万物存域）,watercolor,assets/images/catalogue-raisonne/KXW-018.jpg,KXW-W-018_热情渔港_Artwork.docx
KXW-W-021,《三峡枢纽——白洋港陆港铁路》,Three Gorges Hub — Baiyang Port Rail Connection,2022,Watercolor on Paper（纸本水彩）,67 × 125 cm,Grounds for Living（立身之境）,watercolor,assets/images/catalogue-raisonne/KXW-021.jpg,KXW-W-021_三峡枢纽—白洋港陆港铁路_Artwork.docx
KXW-W-033,《小桥》,Little Bridge,2022,Watercolor on Paper（纸本水彩）,47 × 76 cm,Pastoral Poetry（田园诗）,watercolor,assets/images/catalogue-raisonne/KXW-033.jpg,KXW-W-033_小桥_Little_Bridge_Artwork.docx
KXW-W-034,《前海建设日志——第一桩》,Qianhai Construction — The First Pile,2021,Watercolor on Paper（纸本水彩）,86.5× 112 cm,The Realm of Standing（立身之境）,watercolor,assets/images/catalogue-raisonne/KXW-034.jpg,KXW-W-034_前海建设日志—第一桩_Artwork_Recorddocx.docx
KXW-W-035,《大山交响》,A Symphony of the Mountains,2021,Watercolor on Paper（纸本水彩）,86 × 134 cm,The Realm of Standing（立身之境）,watercolor,assets/images/catalogue-raisonne/KXW-035.jpg,KXW-W-035_大山交响_Artwork.docx
KXW-W-036,《窗前的红樱桃》,Red Cherries by the Window,2020,Watercolor on Paper（纸本水彩）,53 × 76 cm,Pastoral Poetry（田园诗）,watercolor,assets/images/catalogue-raisonne/KXW-036.jpg,KXW-W-036_窗前的红樱桃_Artwork.docx
KXW-W-037,《侗家新屋》,New Homes in a Dong Village,2022,Watercolor on Paper（纸本水彩）,40 × 55 cm,Pastoral Poetry（田园诗）,watercolor,assets/images/catalogue-raisonne/KXW-037.jpg,KXW-W-037_侗家新屋_Artwork.docx
KXW-HP-038,《向远方》,Toward the Distance,2024,Pastel on Paper（纸本色粉）,34 × 52 cm,Pastoral Poetry（田园诗）,pastel,assets/images/catalogue-raisonne/KXW-038.jpg,KXW-HP-038_向远方_Artwork.docx
KXW-W-039,《三兄弟》,Three Brothers,2024,Watercolor on Paper（纸本水彩）,35 × 52 cm,Pastoral Poetry（田园诗）,watercolor,assets/images/catalogue-raisonne/KXW-039.jpg,KXW-W-039_三兄弟_Artwork.docx
KXW-HP-040,《侗家炊烟》,Smoke over the Dong Village,2022,Pastel on Paper（纸本色粉）,79 × 109 cm,Pastoral Poems（田园诗）,pastel,assets/images/catalogue-raisonne/KXW-040.jpg,KXW-HP-040_侗家炊烟_Artwork.docx
KXW-HP-041,《红樱桃》,Red Cherries,2024,Pastel on Paper（纸本色粉）,22 ×28 cm,Light and Life（光与生命）,pastel,assets/images/catalogue-raisonne/KXW-041.jpg,KXW-HP-041_红樱桃_Artwork.docx
KXW-P-042,《绿风酸甜》,Sweet and Sour in the Green Wind,2025,Black-and-white Woodcut Print（黑白木刻）,120 × 82 cm,Pastoral Poems（田园诗）,printmaking,assets/images/catalogue-raisonne/KXW-042.jpg,KXW-P-042_绿风酸甜_Artwork.docx
